i,pos0,pos1,pos2,pos3,pos4,pos5,pos6,vel0,vel1,vel2,vel3,vel4,vel5,vel6,action,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15
16,-0.005666184239089489,-0.012255711480975151,0.043489839881658554,1.5027387142181396,1.3969230651855469,-0.5254473090171814,3.086595058441162,-0.20498670637607574,0.12870489060878754,-0.04605522006750107,-13.41631031036377,8.56466293334961,-5.549413204193115,46.42940139770508,[-0.7017523],-0.7017523050308228,0.6544367671012878,0.38280925154685974,0.5895546078681946,0.27855855226516724,-1.1217381954193115,-0.877363383769989,2.4217562675476074,-2.0498671531677246,1.2870489358901978,-0.4605522155761719,0.9285880327224731,0.30865952372550964,0.7182686924934387,0.6957658529281616,0.0
17,-0.0072234333492815495,-0.009900815784931183,0.043541260063648224,0.4851612448692322,1.4843298196792603,0.40820667147636414,3.492421865463257,-0.11017973721027374,0.3261156678199768,0.07777611911296844,-12.413124084472656,5.4460296630859375,-9.36575984954834,35.03279495239258,[-4.7058783],-1.0,0.667671263217926,0.3063439726829529,0.606594443321228,0.30399274826049805,-1.7502284049987793,-0.9763007164001465,1.8772737979888916,-1.101797342300415,3.2611565589904785,0.7777612209320068,0.7006558775901794,0.3492421805858612,0.7182686924934387,0.6957658529281616,0.0
18,-0.008001106791198254,-0.005907074548304081,0.04537872225046158,-0.4257483184337616,1.4248617887496948,1.2148747444152832,3.7716734409332275,-0.06383092701435089,0.4496970772743225,0.28093767166137695,-9.110108375549316,2.3240408897399902,-9.908145904541016,21.165889739990234,[-2.9984884],-1.0,0.6861955523490906,0.2333906590938568,0.6158822178840637,0.3087935149669647,-1.763536810874939,-0.9078571200370789,1.1172008514404297,-0.6383092403411865,4.4969706535339355,2.8093767166137695,0.4233177900314331,0.37716734409332275,0.7182686924934387,0.6957658529281616,0.0
19,-0.008582771755754948,-0.001077758613973856,0.048932995647192,-0.6426966190338135,1.3554632663726807,1.3327202796936035,3.9461662769317627,-0.058176323771476746,0.5011530518531799,0.3909514546394348,-6.5864152908325195,1.3785884380340576,-9.260075569152832,14.652756690979004,[-0.1347488],-0.13474880158901215,0.7034223079681396,0.17433473467826843,0.6197472810745239,0.3011937439441681,-1.6107287406921387,-0.7258924245834351,0.7199756503105164,-0.5817632675170898,5.01153039932251,3.9095144271850586,0.29305511713027954,0.39461663365364075,0.7182686924934387,0.6957658529281616,0.0
20,-0.00899654719978571,0.004309856798499823,0.05290155112743378,-0.7723625302314758,1.297629714012146,1.3654547929763794,4.115474224090576,-0.02379060536623001,0.5718808174133301,0.39867112040519714,-5.9732160568237305,2.201695203781128,-9.326088905334473,18.955373764038086,[2.675147],1.0,0.7162627577781677,0.12030008435249329,0.623626708984375,0.28911104798316956,-1.648395299911499,-0.5593245625495911,0.7153264880180359,-0.2379060536623001,5.718808174133301,3.986711263656616,0.3791074752807617,0.4115474224090576,0.7182686924934387,0.6957658529281616,0.0
21,-0.008994185365736485,0.010363761335611343,0.05672309175133705,-0.9036435484886169,1.2498645782470703,1.3966729640960693,4.331651210784912,0.02500966563820839,0.6364718675613403,0.3603324890136719,-4.813738822937012,3.605767011642456,-9.486517906188965,24.210683822631836,[3.4193778],1.0,0.7230551242828369,0.0672038197517395,0.6307858228683472,0.27346688508987427,-1.7309116125106812,-0.2714632749557495,0.6594771146774292,0.2500966489315033,6.364718437194824,3.6033248901367188,0.4842136800289154,0.43316513299942017,0.7182686924934387,0.6957658529281616,0.0
22,-0.008301284164190292,0.017019430175423622,0.06009988114237785,-1.0570565462112427,1.216964602470398,1.4448305368423462,4.603682041168213,0.11354941129684448,0.6970281600952148,0.29984250664711,-3.1927621364593506,5.504317283630371,-9.665080070495605,30.352537155151367,[2.3473983],1.0,0.7221566438674927,0.015979744493961334,0.6438977718353271,0.2522500157356262,-1.8495726585388184,0.1092519760131836,0.5354695320129395,1.1354941129684448,6.970281600952148,2.998425006866455,0.6070507168769836,0.46036821603775024,0.7182686924934387,0.6957658529281616,0.0
23,-0.006569715682417154,0.024230003356933594,0.06263714283704758,-1.244847297668457,1.20149564743042,1.524808645248413,4.9344096183776855,0.2360120415687561,0.7409054040908813,0.20919515192508698,-1.1456314325332642,7.531779766082764,-9.468591690063477,35.936073303222656,[0.71505237],0.7150523662567139,0.7122921943664551,-0.030607104301452637,0.6642826199531555,0.22456946969032288,-1.9275085926055908,0.5333685874938965,0.3207028806209564,2.3601202964782715,7.409053802490234,2.091951608657837,0.7187214493751526,0.4934409558773041,0.7182686924934387,0.6957658529281616,0.0
24,-0.004083345178514719,0.03128194808959961,0.06495696306228638,-1.3969395160675049,1.199283480644226,1.5794243812561035,5.223945617675781,0.24470047652721405,0.6735423803329468,0.25373151898384094,0.22595161199569702,3.4667129516601562,-8.031229019165039,22.37160873413086,[-1.5222396],-1.0,0.7028283476829529,-0.06682989001274109,0.6812746524810791,0.19347034394741058,-1.457082748413086,0.05758476257324219,-0.023059209808707237,2.447004795074463,6.735424041748047,2.5373151302337646,0.44743216037750244,0.522394597530365,0.7182686924934387,0.6957658529281616,0.0
25,-0.0019853117410093546,0.03769126534461975,0.06771907955408096,-1.4250285625457764,1.2033841609954834,1.5317167043685913,5.37182092666626,0.1678217649459839,0.613308310508728,0.29446274042129517,0.4721185863018036,-1.24561607837677,-6.868555545806885,7.834155082702637,[-4.920049],-1.0,0.7061410546302795,-0.09155149012804031,0.6822982430458069,0.16568678617477417,-0.9927393198013306,-0.5909807682037354,-0.15803281962871552,1.6782176494598389,6.133083343505859,2.944627285003662,0.15668310225009918,0.537182092666626,0.7182686924934387,0.6957658529281616,0.0
26,-0.0009234254248440266,0.0435732938349247,0.0708213672041893,-1.3187092542648315,1.2017275094985962,1.3683521747589111,5.3723063468933105,0.046726349741220474,0.5684704780578613,0.3232712149620056,0.13074550032615662,-6.157997131347656,-6.039817810058594,-6.999584197998047,[-4.1570005],-1.0,0.7241209149360657,-0.10915829241275787,0.6656534671783447,0.14366163313388824,-0.5745869278907776,-1.3098067045211792,-0.1463109701871872,0.46726348996162415,5.684704780578613,3.2327122688293457,-0.13999168574810028,0.5372306704521179,0.7182686924934387,0.6957658529281616,0.0
27,-0.0011087737511843443,0.04912726953625679,0.07418244332075119,-1.1019400358200073,1.1716099977493286,1.1103652715682983,5.227269649505615,-0.07507631927728653,0.5480085015296936,0.34890228509902954,-0.45379960536956787,-10.86511516571045,-5.358517646789551,-21.213045120239258,[-3.4281998],-1.0,0.7558861970901489,-0.12241522967815399,0.6302390098571777,0.12825442850589752,-0.20540466904640198,-2.0096559524536133,-0.04003540799021721,-0.7507631778717041,5.4800848960876465,3.489022731781006,-0.4242608845233917,0.5227269530296326,0.7182686924934387,0.6957658529281616,0.0
28,-0.0023295790888369083,0.05465548858046532,0.0778154507279396,-0.8580110669136047,1.0912015438079834,0.8391269445419312,4.947725296020508,-0.15603116154670715,0.5634412169456482,0.3778311312198639,-1.0369127988815308,-14.962995529174805,-4.655825614929199,-33.89177322387695,[-2.764248],-1.0,0.7978624105453491,-0.13249817490577698,0.5758237838745117,0.11952736973762512,0.11448850482702255,-2.612483263015747,0.11411428451538086,-1.5603115558624268,5.6344122886657715,3.778311252593994,-0.6778354644775391,0.4947725236415863,0.7182686924934387,0.6957658529281616,0.0
29,-0.0034245788119733334,0.0606585294008255,0.08059022575616837,-0.7014060020446777,0.985747218132019,0.6533604264259338,4.667362213134766,-0.07455512136220932,0.6288917064666748,0.183833047747612,-1.626611351966858,-11.520488739013672,-5.374764919281006,-22.880430221557617,[0.6018523],0.601852297782898,0.835761547088623,-0.1440645158290863,0.5179839134216309,0.11153755336999893,-0.22114908695220947,-2.1219112873077393,0.10602959245443344,-0.7455512285232544,6.288917064666748,1.8383305072784424,-0.45760858058929443,0.46673622727394104,0.7182686924934387,0.6957658529281616,0.0
