t,x,y
6.933333E0,1.379014E0,9.106034E-1
6.966667E0,1.364551E0,9.029868E-1
7.000000E0,1.353650E0,8.952232E-1
7.033333E0,1.343863E0,8.880725E-1
7.066667E0,1.335967E0,8.816295E-1
7.100000E0,1.326657E0,8.725582E-1
7.133333E0,1.322999E0,8.628994E-1
7.166667E0,1.317848E0,8.633053E-1
7.200000E0,1.313332E0,8.640585E-1
7.233333E0,1.309456E0,8.643158E-1
7.266667E0,1.308974E0,8.642174E-1
7.300000E0,1.309634E0,8.642606E-1
7.333333E0,1.309629E0,8.638587E-1
7.366667E0,1.309965E0,8.637076E-1
7.400000E0,1.309959E0,8.636416E-1
7.433333E0,1.310278E0,8.635487E-1
7.466667E0,1.310513E0,8.634185E-1
7.500000E0,1.310477E0,8.635785E-1
7.533333E0,1.310667E0,8.634021E-1
7.566667E0,1.310448E0,8.634410E-1
7.600000E0,1.310563E0,8.634356E-1
7.633333E0,1.310282E0,8.636306E-1
7.666667E0,1.310105E0,8.636561E-1
7.700000E0,1.310393E0,8.635141E-1
7.733333E0,1.310071E0,8.634564E-1
7.766667E0,1.310401E0,8.635297E-1
7.800000E0,1.310418E0,8.635279E-1
7.833333E0,1.310250E0,8.636196E-1
7.866667E0,1.310401E0,8.636010E-1
7.900000E0,1.310296E0,8.636263E-1
7.933333E0,1.309443E0,8.639713E-1
7.966667E0,1.309893E0,8.642325E-1
8.000000E0,1.309181E0,8.645591E-1
8.033333E0,1.307183E0,8.638035E-1
8.066667E0,1.302065E0,8.654869E-1
8.100000E0,1.297584E0,8.647022E-1
8.133333E0,1.293903E0,8.649721E-1
8.166667E0,1.291656E0,8.678022E-1
8.200000E0,1.291415E0,8.688643E-1
8.233333E0,1.292420E0,8.666050E-1
8.266667E0,1.293758E0,8.641997E-1
8.300000E0,1.295629E0,8.637302E-1
8.333333E0,1.298979E0,8.633664E-1
8.366667E0,1.298216E0,8.633526E-1
8.400000E0,1.297960E0,8.633706E-1
8.433333E0,1.297158E0,8.638317E-1
8.466667E0,1.294279E0,8.641854E-1
8.500000E0,1.291234E0,8.651228E-1
8.533333E0,1.291213E0,8.637027E-1
8.566667E0,1.291667E0,8.629644E-1
8.600000E0,1.292525E0,8.609756E-1
8.633333E0,1.293430E0,8.613632E-1
8.666667E0,1.292439E0,8.621008E-1
8.700000E0,1.292048E0,8.625438E-1
8.733333E0,1.291798E0,8.630543E-1
8.766667E0,1.291098E0,8.635505E-1
8.800000E0,1.291100E0,8.641250E-1
8.833333E0,1.290765E0,8.641854E-1
8.866667E0,1.291440E0,8.632423E-1
8.900000E0,1.289968E0,8.621355E-1
8.933333E0,1.284509E0,8.580331E-1
8.966667E0,1.284553E0,8.533717E-1
9.000000E0,1.283071E0,8.521599E-1
9.033333E0,1.280409E0,8.450421E-1
9.066667E0,1.273058E0,8.390271E-1
9.100000E0,1.268779E0,8.343747E-1
9.133333E0,1.264805E0,8.319955E-1
9.166667E0,1.262759E0,8.230101E-1
9.200000E0,1.258958E0,8.146409E-1
9.233333E0,1.261780E0,8.059869E-1
9.266667E0,1.264530E0,7.974477E-1
9.300000E0,1.272105E0,7.947929E-1
9.333333E0,1.275878E0,7.918894E-1
9.366667E0,1.277454E0,7.900146E-1
9.400000E0,1.282662E0,7.934779E-1
9.433333E0,1.282779E0,7.913496E-1
9.466667E0,1.281411E0,7.849268E-1
9.500000E0,1.279830E0,7.798502E-1
9.533333E0,1.277642E0,7.715730E-1
9.566667E0,1.278552E0,7.720382E-1
9.600000E0,1.270088E0,7.645537E-1
9.633333E0,1.265326E0,7.597621E-1
9.666667E0,1.266078E0,7.545486E-1
9.700000E0,1.269515E0,7.504710E-1
9.733333E0,1.271374E0,7.438992E-1
9.766667E0,1.276601E0,7.388536E-1
9.800000E0,1.282896E0,7.381172E-1
9.833333E0,1.282322E0,7.386036E-1
9.866667E0,1.289499E0,7.357638E-1
9.900000E0,1.304341E0,7.358725E-1
9.933333E0,1.314545E0,7.371533E-1
9.966667E0,1.326282E0,7.363487E-1
1.000000E1,1.340634E0,7.329897E-1
1.003333E1,1.351873E0,7.333833E-1
1.006667E1,1.357038E0,7.532466E-1
1.010000E1,1.375813E0,7.478926E-1
1.013333E1,1.389556E0,7.424320E-1
1.016667E1,1.401907E0,7.385516E-1
1.020000E1,1.354055E0,4.361930E-1
1.023333E1,1.447172E0,7.245673E-1
1.026667E1,1.460838E0,7.205160E-1
1.030000E1,1.465259E0,7.186143E-1
1.033333E1,1.477358E0,7.172778E-1
1.036667E1,1.497465E0,7.165726E-1
1.040000E1,1.511836E0,7.180454E-1
1.043333E1,1.515812E0,7.193045E-1
1.046667E1,1.517143E0,7.194166E-1
1.050000E1,1.517905E0,7.197732E-1
1.053333E1,1.517631E0,7.201750E-1
1.056667E1,1.517699E0,7.207506E-1
1.060000E1,1.519811E0,7.231462E-1
1.063333E1,1.517187E0,7.284286E-1
1.066667E1,1.506948E0,7.317046E-1
1.070000E1,1.503632E0,7.375438E-1
1.073333E1,1.504520E0,7.464175E-1
1.076667E1,1.509813E0,7.542454E-1
1.080000E1,1.519868E0,7.574739E-1
1.083333E1,1.531530E0,7.648995E-1
1.086667E1,1.546856E0,7.770446E-1
1.090000E1,1.563554E0,7.831237E-1
1.093333E1,1.569121E0,7.845741E-1
1.096667E1,1.576872E0,7.848274E-1
1.100000E1,1.588482E0,7.888487E-1
1.103333E1,1.599334E0,7.924125E-1
1.106667E1,1.607201E0,7.919273E-1
1.110000E1,1.612971E0,7.906418E-1
1.113333E1,1.622052E0,7.919411E-1
1.116667E1,1.634703E0,7.923271E-1
1.120000E1,1.641606E0,7.889557E-1
1.123333E1,1.642715E0,7.814324E-1
1.126667E1,1.639629E0,7.727903E-1
1.130000E1,1.637171E0,7.674813E-1
1.133333E1,1.637877E0,7.609593E-1
1.136667E1,1.638365E0,7.524752E-1
1.140000E1,1.633975E0,7.410676E-1
1.143333E1,1.629752E0,7.366195E-1
1.146667E1,1.628766E0,7.339699E-1
1.150000E1,1.624612E0,7.394544E-1
1.153333E1,1.625165E0,7.435863E-1
1.156667E1,1.628800E0,7.441606E-1
1.160000E1,1.631609E0,7.491541E-1
1.163333E1,1.638770E0,7.499042E-1
1.166667E1,1.645944E0,7.527641E-1
1.170000E1,1.649634E0,7.595282E-1
1.173333E1,1.650876E0,7.625908E-1
1.176667E1,1.652832E0,7.655043E-1
1.180000E1,1.650224E0,7.687440E-1
1.183333E1,1.647098E0,7.669310E-1
1.186667E1,1.639952E0,7.657475E-1
1.190000E1,1.634742E0,7.658271E-1
1.193333E1,1.632647E0,7.669176E-1
1.196667E1,1.634338E0,7.712547E-1
1.200000E1,1.634156E0,7.732511E-1
1.203333E1,1.633045E0,7.739663E-1
1.206667E1,1.632311E0,7.734152E-1
1.210000E1,1.626655E0,7.724855E-1
1.213333E1,1.623917E0,7.735511E-1
1.216667E1,1.624899E0,7.734374E-1
1.220000E1,1.625950E0,7.773268E-1
1.223333E1,1.625338E0,7.818309E-1
1.226667E1,1.625295E0,7.806797E-1
1.230000E1,1.625151E0,7.809083E-1
1.233333E1,1.625100E0,7.812864E-1
1.236667E1,1.625459E0,7.801904E-1
1.240000E1,1.625640E0,7.799841E-1
1.243333E1,1.626481E0,7.797439E-1
1.246667E1,1.626539E0,7.794039E-1
1.250000E1,1.626438E0,7.792802E-1
1.253333E1,1.625971E0,7.793653E-1
1.256667E1,1.625557E0,7.794857E-1
1.260000E1,1.625017E0,7.790249E-1
1.263333E1,1.624947E0,7.786951E-1
1.266667E1,1.625167E0,7.780354E-1
1.270000E1,1.625669E0,7.784707E-1
1.273333E1,1.626472E0,7.786517E-1
1.276667E1,1.626803E0,7.785603E-1
1.280000E1,1.633393E0,7.780056E-1
1.283333E1,1.639653E0,7.795931E-1
1.286667E1,1.646917E0,7.799701E-1
1.290000E1,1.656792E0,7.839010E-1
1.293333E1,1.663107E0,7.866552E-1
1.296667E1,1.669249E0,7.870237E-1
1.300000E1,1.676095E0,7.868101E-1
1.303333E1,1.682624E0,7.867066E-1
1.306667E1,1.690012E0,7.860839E-1
1.310000E1,1.696011E0,7.836592E-1
1.313333E1,1.703692E0,7.792499E-1
1.316667E1,1.711483E0,7.787421E-1
1.320000E1,1.721562E0,7.804399E-1
1.323333E1,1.732942E0,7.819551E-1
1.326667E1,1.747066E0,7.832031E-1
1.330000E1,1.759694E0,7.837852E-1
1.333333E1,1.772695E0,7.826463E-1
1.336667E1,1.784211E0,7.800716E-1
1.340000E1,1.799117E0,7.762708E-1
1.343333E1,1.817913E0,7.693883E-1
1.346667E1,1.830207E0,7.586606E-1
1.350000E1,1.842114E0,7.511216E-1
1.353333E1,1.851613E0,7.452743E-1
1.356667E1,1.856217E0,7.382432E-1
1.360000E1,1.859694E0,7.305680E-1
1.363333E1,1.859496E0,7.250414E-1
1.366667E1,1.857968E0,7.244273E-1
1.370000E1,1.858094E0,7.238000E-1
1.373333E1,1.859874E0,7.206630E-1
1.376667E1,1.863116E0,7.149442E-1
1.380000E1,1.867428E0,7.080083E-1
1.383333E1,1.867116E0,7.056674E-1
1.386667E1,1.870899E0,6.877506E-1
1.390000E1,1.873199E0,6.758184E-1
1.393333E1,1.872153E0,6.849477E-1
1.396667E1,1.872640E0,6.767397E-1
1.400000E1,1.870040E0,6.727080E-1
1.403333E1,1.867193E0,6.683429E-1
1.406667E1,1.862703E0,6.649635E-1
1.410000E1,1.858187E0,6.650577E-1
1.413333E1,1.866779E0,6.677401E-1
1.416667E1,1.866648E0,6.664041E-1
1.420000E1,1.870276E0,6.631276E-1
1.423333E1,1.874730E0,6.576045E-1
1.426667E1,1.877079E0,6.508311E-1
1.430000E1,1.879786E0,6.426562E-1
1.433333E1,1.880005E0,6.450959E-1
1.436667E1,1.880652E0,6.496449E-1
1.440000E1,1.883172E0,6.499209E-1
1.443333E1,1.884203E0,6.388231E-1
1.446667E1,1.878800E0,6.255224E-1
1.450000E1,1.879124E0,6.085599E-1
1.453333E1,1.876047E0,5.919097E-1
1.456667E1,1.874909E0,5.922651E-1
1.460000E1,1.873618E0,5.849183E-1
1.463333E1,1.874377E0,5.747511E-1
1.466667E1,1.870160E0,5.608809E-1
1.470000E1,1.863222E0,5.458283E-1
1.473333E1,1.855836E0,5.315957E-1
1.476667E1,1.854298E0,5.120551E-1
1.480000E1,1.846907E0,4.882322E-1
1.483333E1,1.839284E0,4.752451E-1
1.486667E1,1.829747E0,4.646967E-1
1.490000E1,1.826745E0,4.454969E-1
1.493333E1,1.820694E0,4.214367E-1
1.496667E1,1.813404E0,4.115164E-1
1.500000E1,1.806096E0,3.987451E-1
1.503333E1,1.802716E0,3.799346E-1
1.506667E1,1.796723E0,3.725807E-1
1.510000E1,1.785564E0,3.676489E-1
1.513333E1,1.779866E0,3.553117E-1
1.516667E1,1.774993E0,3.482429E-1
1.520000E1,1.769906E0,3.374719E-1
1.523333E1,1.766444E0,3.254077E-1
1.526667E1,1.762471E0,3.132770E-1
1.530000E1,1.756184E0,2.990268E-1
1.533333E1,1.751949E0,2.859224E-1
1.536667E1,1.625099E0,-3.487688E-2
1.540000E1,1.749094E0,2.684989E-1
1.543333E1,1.753544E0,2.566944E-1
1.546667E1,1.747111E0,2.392548E-1
1.550000E1,1.749856E0,2.285134E-1
1.553333E1,1.742004E0,2.074115E-1
1.556667E1,1.740390E0,1.921426E-1
1.560000E1,1.741218E0,1.819997E-1
1.563333E1,1.733414E0,1.583590E-1
1.566667E1,1.734792E0,1.526709E-1
1.570000E1,1.744591E0,1.382544E-1
1.573333E1,1.739290E0,1.165661E-1
1.576667E1,1.740575E0,1.058096E-1
1.580000E1,1.727896E0,7.956246E-2
1.583333E1,1.721439E0,6.472006E-2
1.586667E1,1.713873E0,6.021188E-2
1.590000E1,1.700931E0,4.346566E-2
1.593333E1,1.684769E0,2.757461E-2
1.596667E1,1.672078E0,1.807186E-2
1.600000E1,1.661048E0,9.027162E-3
1.603333E1,1.647769E0,3.301845E-3
1.606667E1,1.637942E0,-1.741411E-5
1.610000E1,1.629967E0,2.283498E-3
1.613333E1,1.620529E0,-5.956541E-4
1.616667E1,1.615000E0,-1.781725E-3
1.620000E1,1.608776E0,-3.977601E-4
1.623333E1,1.602305E0,1.754471E-3
1.626667E1,1.597937E0,1.263438E-3
1.630000E1,1.592926E0,-6.533233E-3
1.633333E1,1.589938E0,-6.273805E-3
1.636667E1,1.588739E0,-5.084528E-3
1.640000E1,1.588920E0,-4.206186E-3
1.643333E1,1.587818E0,1.772008E-3
1.646667E1,1.586203E0,4.969253E-3
1.650000E1,1.588077E0,1.527672E-2
1.653333E1,1.590228E0,2.270491E-2
1.656667E1,1.589240E0,3.001057E-2
1.660000E1,1.588408E0,4.595879E-2
1.663333E1,1.588563E0,6.077852E-2
1.666667E1,1.590821E0,7.165266E-2
1.670000E1,1.590982E0,7.892340E-2
1.673333E1,1.595050E0,8.412429E-2
1.676667E1,1.593166E0,9.562948E-2
1.680000E1,1.594121E0,1.101057E-1
1.683333E1,1.593777E0,1.179332E-1
1.686667E1,1.591672E0,1.225000E-1
1.690000E1,1.591189E0,1.307551E-1
1.693333E1,1.589322E0,1.400019E-1
1.696667E1,1.587467E0,1.517547E-1
1.700000E1,1.587703E0,1.620400E-1
1.703333E1,1.585996E0,1.670642E-1
1.706667E1,1.584060E0,1.758311E-1
1.710000E1,1.583042E0,1.864730E-1
1.713333E1,1.587584E0,1.978073E-1
1.716667E1,1.590197E0,2.054543E-1
1.720000E1,1.595141E0,2.081170E-1
1.723333E1,1.600073E0,2.050714E-1
1.726667E1,1.598722E0,2.002831E-1
1.730000E1,1.598778E0,1.996304E-1
1.733333E1,1.599413E0,2.007964E-1
1.736667E1,1.600794E0,2.043778E-1
1.740000E1,1.597960E0,2.069509E-1
1.743333E1,1.598035E0,2.069589E-1
1.746667E1,1.598051E0,2.068560E-1
1.750000E1,1.598664E0,2.064032E-1
1.753333E1,1.599475E0,2.052989E-1
1.756667E1,1.597995E0,1.976804E-1
1.760000E1,1.597824E0,1.912373E-1
1.763333E1,1.597294E0,1.839644E-1
1.766667E1,1.596719E0,1.765456E-1
1.770000E1,1.593937E0,1.612139E-1
1.773333E1,1.587416E0,1.474633E-1
1.776667E1,1.584587E0,1.401249E-1
1.780000E1,1.587207E0,1.359153E-1
1.783333E1,1.588538E0,1.263089E-1
1.786667E1,1.590891E0,1.214449E-1
1.790000E1,1.598710E0,1.230177E-1
1.793333E1,1.610942E0,1.291079E-1
1.796667E1,1.622363E0,1.297314E-1
1.800000E1,1.634518E0,1.238673E-1
1.803333E1,1.642736E0,1.215976E-1
1.806667E1,1.654858E0,1.275145E-1
1.810000E1,1.666808E0,1.389046E-1
1.813333E1,1.682176E0,1.434764E-1
1.816667E1,1.693904E0,1.442796E-1
1.820000E1,1.710984E0,1.495307E-1
1.823333E1,1.722018E0,1.614389E-1
1.826667E1,1.767231E0,1.690794E-1
1.830000E1,1.757336E0,1.769897E-1
1.833333E1,1.777027E0,1.847294E-1
1.836667E1,1.793887E0,1.916723E-1
1.840000E1,1.810655E0,1.986775E-1
1.843333E1,1.826361E0,2.065522E-1
1.846667E1,1.843568E0,2.126636E-1
1.850000E1,1.857606E0,2.188570E-1
1.853333E1,1.880907E0,2.258745E-1
1.856667E1,1.896735E0,2.261632E-1
1.860000E1,1.905149E0,2.237028E-1
1.863333E1,1.918830E0,2.245957E-1
1.866667E1,1.928976E0,2.216205E-1
1.870000E1,1.939200E0,2.171050E-1
1.873333E1,1.945167E0,2.185406E-1
1.876667E1,1.951199E0,2.151710E-1
1.880000E1,1.952856E0,2.060065E-1
1.883333E1,1.953972E0,2.025143E-1
1.886667E1,1.962420E0,1.944448E-1
1.890000E1,1.970132E0,1.844040E-1
1.893333E1,1.976317E0,1.695245E-1
1.896667E1,1.981741E0,1.564878E-1
1.900000E1,1.989194E0,1.432035E-1
1.903333E1,1.995600E0,1.361350E-1
1.906667E1,2.003329E0,1.278438E-1
1.910000E1,2.006136E0,1.161672E-1
1.913333E1,2.002667E0,9.993281E-2
1.916667E1,2.017327E0,1.059431E-1
